id,Heart_GSH,Heart_GSSG,Heart_TotalGSH,Heart_GSHGSSGRatio,Heart_Eh
314,NA,NA,NA,NA,NA
315,NA,NA,NA,NA,NA
316,NA,NA,NA,NA,NA
317,NA,NA,NA,NA,NA
318,NA,NA,NA,NA,NA
319,NA,NA,NA,NA,NA
320,NA,NA,NA,NA,NA
321,NA,NA,NA,NA,NA
322,NA,NA,NA,NA,NA
323,NA,NA,NA,NA,NA
324,NA,NA,NA,NA,NA
325,NA,NA,NA,NA,NA
326,NA,NA,NA,NA,NA
328,NA,NA,NA,NA,NA
329,NA,NA,NA,NA,NA
330,NA,NA,NA,NA,NA
331,NA,NA,NA,NA,NA
332,NA,NA,NA,NA,NA
333,NA,NA,NA,NA,NA
334,NA,NA,NA,NA,NA
335,NA,NA,NA,NA,NA
336,NA,NA,NA,NA,NA
337,NA,NA,NA,NA,NA
338,NA,NA,NA,NA,NA
339,NA,NA,NA,NA,NA
340,NA,NA,NA,NA,NA
341,NA,NA,NA,NA,NA
342,NA,NA,NA,NA,NA
343,NA,NA,NA,NA,NA
344,NA,NA,NA,NA,NA
345,NA,NA,NA,NA,NA
346,NA,NA,NA,NA,NA
347,NA,NA,NA,NA,NA
348,NA,NA,NA,NA,NA
349,NA,NA,NA,NA,NA
350,NA,NA,NA,NA,NA
351,NA,NA,NA,NA,NA
352,NA,NA,NA,NA,NA
353,NA,NA,NA,NA,NA
354,NA,NA,NA,NA,NA
355,NA,NA,NA,NA,NA
356,NA,NA,NA,NA,NA
357,NA,NA,NA,NA,NA
358,NA,NA,NA,NA,NA
359,NA,NA,NA,NA,NA
361,NA,NA,NA,NA,NA
362,NA,NA,NA,NA,NA
363,NA,NA,NA,NA,NA
364,NA,NA,NA,NA,NA
365,NA,NA,NA,NA,NA
